algorithm,epsilon,L1error,L1error_sd,time,time_sd
1,0.01,1.631930345795164,0.48087231961520455,0.006345311800638835,0.00019195987864620376
1,0.02,1.6936617974746222,0.45430594887433645,0.006448197364807129,0.00014578488234737093
1,0.05,1.562045060658579,0.4916365751773001,0.006346797943115235,0.0001236927536823618
1,0.1,1.5992902533630438,0.4893330268424623,0.0062942028045654295,0.00016114789658563375
1,0.2,1.6621771065445234,0.46835184004145713,0.006554587682088216,0.0006654181415940042
1,0.5,1.6306924156144258,0.4799731422975432,0.006376441319783529,0.00017765906638663514
1,1.0,1.6879893512845165,0.45093083144646906,0.006198883056640625,0.00013092053149587466
1,2.0,1.6572914087645456,0.4650808029906793,0.00625913937886556,0.0001629698210010931
1,5.0,1.6137245192704461,0.4682603679020368,0.006390992800394694,0.00014923444849567226
1,10.0,1.672608627059676,0.42455831945631123,0.006197889645894368,0.0001275611602565712
2,0.01,1.603416687298835,0.3578353788509942,0.005510600407918295,0.0004899348372330814
2,0.02,1.6710076751671192,0.30254567472820143,0.005636668205261231,0.00045384615058669106
2,0.05,1.946108772798546,0.12589194189454403,0.006039237976074219,0.00017943476456121123
2,0.1,1.9779896013864802,0.03411997587624073,0.005997864405314127,0.0001684375176671
2,0.2,1.9934059585706019,0.00941879313374708,0.006070144971211751,0.00013404013921628985
2,0.5,1.9896756622926453,0.011860232568644371,0.006570132573445638,0.0005567289627778965
2,1.0,1.9896591565569017,0.011173179236081115,0.006381511688232422,0.00035572748181652924
2,2.0,1.9629693818601948,0.025765581702359278,0.006055355072021484,0.00010963864424444505
2,5.0,1.9349343897004192,0.037643413877835354,0.006018845240275065,0.0001331934979764464
2,10.0,1.8984897251794985,0.03967870389218242,0.0060173988342285155,0.00012466774133832283
3,0.01,1.5883799620368069,0.48062882567592946,0.2657663106918335,0.04224645380593795
3,0.02,1.5556243294544845,0.48607677301687274,0.24979354540506998,0.027933273164284837
3,0.05,1.7166255388316496,0.43241054400213025,0.2512502272923787,0.027421384063607675
3,0.1,1.5310363720132472,0.4816553582688699,0.24767009417215982,0.025150930018672107
3,0.2,1.419437026311222,0.4803889827536672,0.24756731192270914,0.02630855499237085
3,0.5,1.4561147803024945,0.48791648609366556,0.24603726863861083,0.025032577898537484
3,1.0,1.427849683595732,0.4498563829849707,0.24775591691335042,0.02557846828036677
3,2.0,1.578695859942684,0.44560551827411254,0.24637025197347004,0.0249964514664875
3,5.0,1.3926868469722,0.34460325228729355,0.24572356541951498,0.024240277857462345
3,10.0,1.1635595804576249,0.2838761823304696,0.2456515073776245,0.02508809062157831
4,0.01,0.9487504407257734,0.24059768660750183,1.1651692708333334,0.030597918780727994
4,0.02,0.7931145599714767,0.21061861924571043,1.1842467705408732,0.011253517665207389
4,0.05,0.8509292440035721,0.24296633217026825,1.1848076264063516,0.02050858673694114
4,0.1,0.7596492054369984,0.26889427797194404,1.230081303914388,0.05122956099824768
4,0.2,0.6836258936904028,0.2327691710742941,1.1899598677953085,0.01569754066433101
4,0.5,0.7980682982041726,0.25309381984512325,1.1807537317276,0.01062637367446716
4,1.0,0.7040225928692231,0.25644672435452776,1.1604017257690429,0.02550367381061583
4,2.0,0.7560668127299656,0.26697093595059934,1.1874618371327719,0.011072229811216883
4,5.0,0.7256178017607339,0.25405536609160595,1.188631002108256,0.011943863716517972
4,10.0,0.7402891895126447,0.25789350890993923,1.195809555053711,0.015907759272615316
5,0.01,3.4469418211658227,3.2246829627780853,1.1776516755421957,0.016936988361923904
5,0.02,1.944407387088064,1.7085716284226857,1.1487086852391561,0.03180870952994537
5,0.05,1.5187973025368626,1.2063215786905146,1.1730748256047567,0.017449287671386187
5,0.1,1.006999915208883,0.238536499064962,1.1739642858505248,0.02158234390144603
5,0.2,0.8742137806563469,0.18013838464726528,1.1812953233718873,0.013964153337233358
5,0.5,0.7672086473700078,0.19973271135964857,1.1746390422185262,0.01875442878498085
5,1.0,0.7073005530587682,0.10834512616588465,1.1742879231770833,0.014356143800067108
5,2.0,0.5855337007158019,0.11290479715553836,1.1597780625025431,0.031043526828179558
5,5.0,0.491249559017322,0.07469860317006707,1.1737803061803183,0.023521550002891793
5,10.0,0.45578270263411635,0.08426806989427038,1.177867873509725,0.016525521628486698
6,0.01,1.8666960373104975,0.1606034361229049,1.3265153328577677,0.03123766984832315
6,0.02,1.8026179385775942,0.19173484392998366,1.317576535542806,0.02437972906330374
6,0.05,1.7497373212299552,0.20810359375513643,1.3124345143636067,0.024690904253343093
6,0.1,1.6812905725727052,0.21838711998608798,1.3183136383692424,0.028491374566262183
6,0.2,1.5657166340380404,0.2505650995541376,1.3172727743784587,0.021289787774604097
6,0.5,1.3357808114415703,0.2777738358949568,1.3190458377202352,0.01656838745906876
6,1.0,1.1146930540207807,0.2568962097933062,1.3185139258702596,0.021599726119254065
6,2.0,1.0178398474006736,0.2266440299923636,1.3437646786371866,0.024280061576670307
6,5.0,0.6830755950721674,0.16205086707823213,1.3302942434946696,0.022907626943080926
6,10.0,0.5620246477753201,0.12634689936929827,1.3289856990178426,0.027317301650047653
