algorithm,epsilon,L1error,L1error_sd,time,time_sd
1,0.01,1.8360067021125783,0.13701156514764506,0.006309906641642253,0.00017376667624894693
1,0.02,1.8507683489701918,0.14928461894579323,0.006246725718180339,6.567449788600347e-05
1,0.05,1.266669295010171,0.16336073087154454,0.006268024444580078,1.635210819195008e-05
1,0.1,0.8298620340771334,0.06657147881510794,0.0061482588450113935,0.00010272757880806544
1,0.2,0.5629332653857085,0.06375489343613193,0.006225426991780599,9.027585161697479e-05
1,0.5,0.33292932902823297,0.04007625531664299,0.0060647328694661455,7.015891781584928e-05
1,1.0,0.20496566664416252,0.01846248633062133,0.006139914194742839,7.098319012056925e-05
1,2.0,0.10824346086804354,0.0073716713431141,0.006108681360880534,2.9762135006960476e-05
1,5.0,0.04899485815511286,0.004089927536182914,0.006236950556437175,2.2479162126975893e-05
1,10.0,0.02529344754719835,0.000993122317724689,0.006129662195841472,9.302935584556872e-05
2,0.01,1.815465874391349,0.040196126508136275,0.00587765375773112,0.0003030835227067786
2,0.02,1.7246843278039101,0.04078687202421492,0.005623022715250651,6.869361109435123e-05
2,0.05,1.5696954691755367,0.017115102942068975,0.005642016728719075,0.00010905616659905114
2,0.1,1.3075843855739848,0.09196909457575321,0.005397717157999675,8.162911170392885e-05
2,0.2,1.0963109680613992,0.07380666671721146,0.005524079004923503,7.784803716406113e-05
2,0.5,0.8294132210943315,0.06273004814903999,0.0054539839426676435,4.75979404385024e-05
2,1.0,0.5285136584963288,0.015075439443796884,0.005402326583862305,0.00013853576143657757
2,2.0,0.2403235124205656,0.020939527917653616,0.005314985911051433,0.00011808698904580338
2,5.0,0.0614013369645951,0.0024592992367337366,0.0053099791208903,6.899965308872299e-05
2,10.0,0.012049187092514657,0.0016832613728126721,0.005250295003255208,4.0882742379168785e-05
